arch,repeat_id,hyperparams,total_params,train_loss,valid_loss,val_accuracy,val_best_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_mcc,time
InceptionTime,2,{},388997,0.43497294187545776,0.5220699906349182,0.7753999829292297,0.7775999903678894,0.7804,0.7793455067053137,0.7804,0.7783809824603684,0.9599348000000001,0.726180532181157,109
InceptionTimePlus,1,{},455493,0.44307741522789,0.515770435333252,0.774399995803833,0.776199996471405,0.7778,0.7772687484736094,0.7778,0.7767718446498945,0.9596795499999999,0.722586984759539,114
InceptionTimePlus,0,{},455493,0.461415559053421,0.5073645710945129,0.777400016784668,0.7781999707221985,0.7772,0.7752848555400671,0.7772,0.7753319689119076,0.9605596499999999,0.7219104867199435,115
InceptionTimePlus,2,{},455493,0.45134133100509644,0.5083281993865967,0.7734000086784363,0.7748000025749207,0.7754,0.7741448232163752,0.7754000000000001,0.7731840852869712,0.9599799499999999,0.7199645233706273,114
InceptionTime,0,{},388997,0.43630093336105347,0.5164239406585693,0.7748000025749207,0.7764000296592712,0.7748,0.7733778779136253,0.7747999999999999,0.7720245910504259,0.9594409500000001,0.7194429082410103,108
InceptionTime,1,{},388997,0.42913833260536194,0.5209683775901794,0.7749999761581421,0.7778000235557556,0.7696,0.7684700635656883,0.7696000000000001,0.7673972581505554,0.9593443,0.7127398158822538,109
XceptionTimePlus,1,{},399610,0.5132299661636353,0.5314317941665649,0.7767999768257141,0.777999997138977,0.7694,0.769080350093845,0.7694,0.7673447194771172,0.9576026500000001,0.7125887831072145,123
XceptionTime,2,{},399610,0.5043458938598633,0.5317362546920776,0.7724000215530396,0.7752000093460083,0.7682,0.766222957706751,0.7682,0.7655612417376018,0.957519475,0.7109979722525848,122
XceptionTime,0,{},399610,0.5018002390861511,0.5307583212852478,0.7710000276565552,0.7735999822616577,0.7674,0.7661793745797365,0.7674000000000001,0.7648147767510937,0.95782235,0.7101364128914167,122
XceptionTimePlus,0,{},399610,0.5101127028465271,0.5304815173149109,0.7753999829292297,0.7766000032424927,0.7668,0.7652355416508925,0.7667999999999999,0.7649362743736305,0.9583354500000001,0.7089802131335466,123
mWDNPlus,1,{},457945,0.5070292949676514,0.5307847261428833,0.7694000005722046,0.769599974155426,0.7644,0.763005047968284,0.7644,0.762682937709625,0.9568058,0.705953438325891,107
TSTPlus,0,{},420741,0.4695925712585449,0.5474593639373779,0.7591999769210815,0.7612000107765198,0.7642,0.7636105963295494,0.7642,0.7632210448982898,0.9558237,0.7055487573192586,128
XceptionTimePlus,2,{},399610,0.5047910809516907,0.5334153175354004,0.7739999890327454,0.7771999835968018,0.7622,0.7617517074692518,0.7622000000000001,0.760290841487113,0.956987825,0.7035164413744557,122
mWDN,0,{},457945,0.511355996131897,0.5337188839912415,0.7703999876976013,0.7738000154495239,0.7622,0.7608866935889302,0.7621999999999999,0.7608706846087172,0.95695785,0.7030550162780685,120
mWDNPlus,0,{},457945,0.5143527388572693,0.5297200679779053,0.7684000134468079,0.7688000202178955,0.7612,0.7601183120439493,0.7612,0.7593758478101216,0.9565382000000001,0.7020698556474279,114
mWDN,2,{},457945,0.5173836946487427,0.5343900322914124,0.7674000263214111,0.7681999802589417,0.7608,0.7596858577979967,0.7607999999999999,0.7587475847106683,0.956584275,0.7016746336403019,121
XceptionTime,1,{},399610,0.5177817344665527,0.5342025756835938,0.774399995803833,0.7771999835968018,0.7606,0.7594851265373814,0.7605999999999999,0.7582280196586145,0.9573187999999998,0.701562704948882,122
mWDNPlus,2,{},457945,0.5181723833084106,0.5367016792297363,0.7692000269889832,0.7706000208854675,0.7598,0.7599889309925174,0.7598,0.7590883146627911,0.9550003,0.7001128925507543,111
TSTPlus,1,{},420741,0.4849033057689667,0.5381702780723572,0.7626000046730042,0.7649999856948853,0.7584,0.7568408702948657,0.7584,0.7569826080465836,0.9554943500000002,0.6982944979757023,128
ResNet,0,{},478853,0.36565297842025757,0.6003840565681458,0.7558000087738037,0.7617999911308289,0.758,0.756537044999766,0.758,0.754497036627432,0.95302325,0.6987512912497688,84
mWDN,1,{},457945,0.5114384889602661,0.532211422920227,0.7706000208854675,0.7721999883651733,0.758,0.7571641788636521,0.758,0.7561425174372903,0.9563794,0.6981398591468184,121
ResNet,1,{},478853,0.37807783484458923,0.5772725343704224,0.7656000256538391,0.7656000256538391,0.7578,0.7562712985771947,0.7578,0.7558824230716344,0.9541731999999999,0.6977672372302354,84
TSTPlus,2,{},420741,0.46431657671928406,0.5561767816543579,0.7581999897956848,0.7588000297546387,0.7558,0.7537187755327206,0.7558,0.7537440270028405,0.9526976000000001,0.6952013321694233,128
ResNet,2,{},478853,0.21689073741436005,0.8681526184082031,0.7444000244140625,0.754800021648407,0.7548,0.7627852101785282,0.7548,0.75291676906466,0.9534994000000001,0.6961574669792849,84
ResCNN,0,{},256646,0.4304911196231842,0.5927740931510925,0.7531999945640564,0.7544000148773193,0.7458,0.7454300708096475,0.7458,0.7437168123361854,0.9485442000000001,0.6831042094171959,71
ResCNN,2,{},256646,0.4188729226589203,0.5955261588096619,0.7490000128746033,0.7558000087738037,0.744,0.7421580911690536,0.744,0.7404322546933069,0.9484887000000001,0.681236920773652,71
