time_1a,S_1a,time_1b,S_1b,time_1d,S_1d,time_1e,S_1e,time_1f,S_1f,time_1g,S_1g,time_1h,S_1h
0,0.20039231,0,0.15424,0,0.09120228,0,0.19821,0,0.11851,0,0.18624,0,0.173485
1,0.19894615,1,0.15382,1,0.09016727,1,0.19689,1,0.11909,1,0.18535,1,0.172805
2,0.19639231,2,0.15359,2,0.08971088,2,0.1965,2,0.11803,2,0.18385,2,0.172297
3,0.19291538,3,0.15331,3,0.09005986,3,0.19488,3,0.11761,3,0.18288,3,0.172854
4,0.18891538,4,0.15263,4,0.08876466,4,0.19477,4,0.11682,4,0.18169,4,0.171546
5,0.18848462,5,0.15315,5,0.09051523,5,0.19301,5,0.11689,5,0.18138,5,0.171971
6,0.18196154,6,0.15237,6,0.08837769,6,0.19298,6,0.11541,6,0.18054,6,0.169792
7,0.17980769,7,0.1513,7,0.08728292,7,0.19138,7,0.11466,7,0.17979,7,0.170384
8,0.17765385,8,0.15082,8,0.08836258,8,0.19193,8,0.11345,8,0.17891,8,0.17078
9,0.17433077,9,0.15045,9,0.08799933,9,0.19057,9,0.11355,9,0.17816,9,0.17076
10,0.1703,10,0.14953,10,0.08828872,10,0.18944,10,0.11225,10,0.17661,10,0.169853
11,0.16648462,11,0.14986,11,0.08731728,11,0.18876,11,0.11187,11,0.17626,11,0.168966
12,0.16426923,12,0.14913,12,0.08677154,12,0.18723,12,0.11048,12,0.1748,12,0.169007
13,0.16116154,13,0.1483,13,0.08725015,13,0.18631,13,0.1103,13,0.17463,13,0.169307
14,0.15722308,14,0.14793,14,0.08708361,14,0.18557,14,0.1089,14,0.1729,14,0.16837
15,0.15439231,15,0.14698,15,0.08570978,15,0.18397,15,0.10913,15,0.17198,15,0.169381
16,0.1519,16,0.14698,16,0.0861058,16,0.18262,16,0.10742,16,0.17158,16,0.168696
17,0.14623846,17,0.14705,17,0.08460437,17,0.18125,17,0.10679,17,0.17061,17,0.168387
18,0.14451538,18,0.14568,18,0.08409205,18,0.17984,18,0.10655,18,0.17092,18,0.168602
19,0.1415,19,0.14522,19,0.08352726,19,0.17921,19,0.10463,19,0.16902,19,0.167632
20,0.13759231,20,0.14466,20,0.08214755,20,0.1779,20,0.10531,20,0.16765,20,0.167453
21,0.13454615,21,0.14454,21,0.0814384,21,0.17723,21,0.10371,21,0.1669,21,0.167276
22,0.13082308,22,0.14439,22,0.08040189,22,0.17586,22,0.10327,22,0.16558,22,0.166639
23,0.12873077,23,0.1433,23,0.08045288,23,0.17446,23,0.10269,23,0.16434,23,0.166802
24,0.12436154,24,0.14331,24,0.07976759,24,0.17323,24,0.10211,24,0.16456,24,0.166274
25,0.11971538,25,0.14301,25,0.08003275,25,0.17211,25,0.10176,25,0.16249,25,0.165905
26,0.11986923,26,0.14147,26,0.07911513,26,0.17193,26,0.09998,26,0.16173,26,0.164965
27,0.11377692,27,0.14041,27,0.07894717,27,0.17011,27,0.09907,27,0.16094,27,0.165129
28,0.11285385,28,0.14127,28,0.07936729,28,0.16893,28,0.09846,28,0.16107,28,0.165861
29,0.1075,29,0.14054,29,0.07756704,29,0.16835,29,0.09766,29,0.15953,29,0.165509
30,0.10393077,30,0.14041,30,0.07829479,30,0.16734,30,0.09775,30,0.15895,30,0.163959
31,0.10116154,31,0.13931,31,0.07728546,31,0.16603,31,0.0964,31,0.15763,31,0.164282
32,0.09753077,32,0.13929,32,0.07718228,32,0.16526,32,0.09544,32,0.15679,32,0.164054
33,0.09457692,33,0.13801,33,0.07609302,33,0.1639,33,0.0952,33,0.15533,33,0.164349
34,0.09076154,34,0.13806,34,0.07588131,34,0.16322,34,0.09442,34,0.15366,34,0.165408
35,0.0879,35,0.13743,35,0.07518818,35,0.16207,35,0.09406,35,0.1529,35,0.162326
36,0.08380769,36,0.13644,36,0.07425548,36,0.16123,36,0.09316,36,0.15229,36,0.163431
37,0.08116154,37,0.13709,37,0.07409315,37,0.16054,37,0.09222,37,0.15132,37,0.162631
38,0.07762308,38,0.13548,38,0.0730787,38,0.15919,38,0.09108,38,0.15052,38,0.162295
39,0.07571538,39,0.13485,39,0.07303649,39,0.15845,39,0.09111,39,0.14937,39,0.161482
40,0.06934615,40,0.13417,40,0.07154173,40,0.15759,40,0.09006,40,0.14911,40,0.161511
41,0.06623846,41,0.13446,41,0.07211777,41,0.1567,41,0.08927,41,0.14818,41,0.162379
42,0.06260769,42,0.13339,42,0.07234908,42,0.15521,42,0.08829,42,0.14703,42,0.161847
43,0.06125385,43,0.13311,43,0.07150472,43,0.15425,43,0.08701,43,0.14593,43,0.161726
44,0.05746923,44,0.13203,44,0.06999943,44,0.15336,44,0.0861,44,0.14496,44,0.161319
45,0.05454615,45,0.13186,45,0.0692673,45,0.15168,45,0.08677,45,0.14337,45,0.16142
46,0.05319231,46,0.13089,46,0.06950243,46,0.15073,46,0.08529,46,0.14262,46,0.161573
47,0.05048462,47,0.13094,47,0.06826013,47,0.15041,47,0.08448,47,0.14266,47,0.160636
48,0.04602308,48,0.13029,48,0.06734161,48,0.14938,48,0.08364,48,0.14156,48,0.159164
49,0.04251538,49,0.12945,49,0.06698136,49,0.14818,49,0.08252,49,0.14125,49,0.159347
50,0.03900769,50,0.1292,50,0.06635377,50,0.14708,50,0.08186,50,0.14041,50,0.159796
51,0.03737692,51,0.12876,51,0.06586608,51,0.14691,51,0.08163,51,0.13922,51,0.159205
52,0.03417692,52,0.12765,52,0.06515799,52,0.14586,52,0.08091,52,0.13745,52,0.159139
53,0.03193077,53,0.12742,53,0.06449706,53,0.14519,53,0.0803,53,0.13723,53,0.158929
54,0.03073077,54,0.12718,54,0.06347802,54,0.14435,54,0.07918,54,0.13511,54,0.157657
55,0.02688462,55,0.12686,55,0.06346644,55,0.14379,55,0.07869,55,0.13626,55,0.157161
56,0.02460769,56,0.12569,56,0.06263575,56,0.14294,56,0.0782,56,0.13476,56,0.157755
