arch,repeat_id,hyperparams,total_params,train_loss,valid_loss,val_accuracy,val_best_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_mcc,time
InceptionTimePlus,0,{},455493,0.4591113328933716,0.5028783082962036,0.7807999849319458,0.781000018119812,0.7824,0.7808734950162108,0.7824,0.7801684177443946,0.9615243,0.7286667436451661,167
InceptionTimePlus,1,{},455493,0.46199727058410645,0.5047445893287659,0.7815999984741211,0.7820000052452087,0.7804,0.7787000799415421,0.7804,0.7784688798008623,0.9618207999999999,0.7259908631677221,178
InceptionTimePlus,2,{},455493,0.45880553126335144,0.5057236552238464,0.77920001745224,0.7820000052452087,0.7804,0.7792022279299406,0.7804,0.7784528066046144,0.9612985000000001,0.7261078251279952,203
InceptionTime,1,{},388997,0.4033120274543762,0.5533593893051147,0.7662000060081482,0.7684000134468079,0.7688,0.7678818439562638,0.7687999999999999,0.7665287042416108,0.9580331,0.7118247352300211,225
XceptionTimePlus,0,{},399610,0.5047601461410522,0.5325417518615723,0.7753999829292297,0.7753999829292297,0.7676,0.7657134030402128,0.7676,0.7656515908674238,0.95822115,0.7099544808390809,165
XceptionTime,1,{},399610,0.5096999406814575,0.5318984985351562,0.7706000208854675,0.7746000289916992,0.7674,0.7662974483784333,0.7674,0.7648692622644448,0.9574596249999999,0.710147376598791,163
InceptionTime,0,{},388997,0.42228421568870544,0.52399080991745,0.7703999876976013,0.7724000215530396,0.7672,0.7647178410200965,0.7672,0.7649881834269466,0.95764685,0.7094466308249179,224
XceptionTimePlus,2,{},399610,0.5055603981018066,0.533378541469574,0.7760000228881836,0.777400016784668,0.7668,0.7654634934085138,0.7668,0.7648372813493783,0.9583527500000001,0.7090762877594275,170
InceptionTime,2,{},388997,0.3961435854434967,0.556554913520813,0.7652000188827515,0.7685999870300293,0.7664,0.7647722968631181,0.7664,0.7641586848720205,0.9569279499999999,0.7086337310650087,201
XceptionTimePlus,1,{},399610,0.5048628449440002,0.5347458124160767,0.7710000276565552,0.7766000032424927,0.7654,0.7660989209523855,0.7654,0.7649370973751759,0.95774375,0.7071119571835933,201
XceptionTime,2,{},399610,0.501819372177124,0.532031774520874,0.7749999761581421,0.7785999774932861,0.7652,0.7642520956177903,0.7652,0.7641455737782716,0.9580232500000001,0.7067552200541213,167
TSTPlus,1,{},420741,0.47684627771377563,0.552132785320282,0.7570000290870667,0.7591999769210815,0.7652,0.7644253621543504,0.7651999999999999,0.7640511584607599,0.9562797999999999,0.7068327137810878,163
XceptionTime,0,{},399610,0.5094558000564575,0.5326366424560547,0.7749999761581421,0.7775999903678894,0.765,0.7637415341619178,0.7649999999999999,0.763277968517728,0.9581738,0.7067430192078972,174
mWDNPlus,0,{},457945,0.5133746266365051,0.5325670838356018,0.7706000208854675,0.7721999883651733,0.764,0.7622585366967841,0.764,0.7624639564393083,0.9570879,0.705301333835873,170
TSTPlus,2,{},420741,0.47117993235588074,0.5460652112960815,0.7623999714851379,0.7631999850273132,0.7634,0.7616304282355071,0.7634,0.7615095722566554,0.9558181000000001,0.7046965667699059,176
mWDN,1,{},457945,0.5152269601821899,0.5324632525444031,0.7680000066757202,0.7694000005722046,0.7624,0.7615518062677177,0.7624000000000001,0.760644031515642,0.956453775,0.703584534590991,175
mWDNPlus,2,{},457945,0.5152742266654968,0.5302261710166931,0.7706000208854675,0.7717999815940857,0.7612,0.7596842549203349,0.7611999999999999,0.7592963607983368,0.95683645,0.7020141679660692,219
mWDN,0,{},457945,0.5156870484352112,0.5353848338127136,0.7667999863624573,0.7712000012397766,0.76,0.7589490565296845,0.76,0.7587016740474948,0.9560791500000001,0.700348685358814,211
TSTPlus,0,{},420741,0.4599235951900482,0.556141197681427,0.7563999891281128,0.7613999843597412,0.758,0.7574832645774767,0.758,0.7573928742067115,0.9533476500000001,0.6976626441207266,151
